# Données du deuxième détecteur
# Index,temps(ms), tension(mV), temps mort cumulatif (ms), température
164,192646.902,14,127,16
165,193629.479,107,124,19
166,195834.959,14,121,18
167,196666.454,13,124,17
168,197816.885,57,122,19
169,199473.341,76,122,19
170,204903.528,45,131,17
171,205871.887,45,124,19
172,209311.005,56,126,18
173,209860.850,21,125,18
174,210465.515,21,127,18
175,213436.079,34,117,17
176,213473.020,100,117,19
177,217393.932,20,129,17
178,217491.779,17,118,17
179,217516.695,34,122,19
180,217738.232,15,132,18
181,220170.915,13,124,19
182,220371.242,21,125,19
183,221645.544,20,118,17
184,225751.641,30,123,17
185,226434.197,25,125,19
186,229416.413,14,121,19
187,229536.403,23,114,18
188,232617.255,21,126,18
189,233099.931,29,117,19
190,234318.786,14,117,18
191,235818.604,134,119,19
192,241270.477,81,119,19
193,241956.382,20,122,16
194,242132.033,18,123,17
195,242953.594,21,237,19
196,243489.547,20,122,18
197,243638.588,73,119,19
198,244501.331,37,119,17
199,244905.074,43,122,19
200,246924.085,92,123,17
201,248100.985,33,118,16
202,248563.381,16,124,17
203,249573.538,43,128,16
204,249825.328,23,121,17
205,250489.228,27,128,17
206,250910.430,25,126,17
207,251235.317,16,118,16
208,251879.035,27,117,17
209,253138.298,17,122,18
210,255423.167,18,124,17
211,255453.086,40,117,17
212,256708.483,18,123,16
213,257621.319,32,117,17
214,257887.934,26,124,17
215,258731.321,45,121,19
216,259164.426,12,120,17
217,259607.466,19,128,18
218,260321.314,25,120,17
219,262801.789,20,129,16
220,263204.138,28,119,17
221,263908.460,49,121,19
222,264306.381,17,120,19
223,266868.273,29,124,17
224,268873.388,22,127,17
225,269779.486,51,123,17
226,274946.832,47,128,19
227,278288.330,66,241,19
228,279983.358,40,125,16
229,282083.312,43,117,18
230,283105.418,19,126,18
231,284416.620,99,133,19
232,286278.469,56,121,19
233,287304.833,15,119,17
234,292173.880,28,124,19
235,292556.832,19,120,16
236,292657.952,24,122,19
237,292987.260,21,121,17
238,294278.373,66,126,19
239,295689.246,22,120,17
240,296245.953,73,123,17
241,296538.828,23,122,18
242,297311.647,34,124,19
243,297492.985,28,125,17
244,297531.590,37,122,19
245,300484.337,67,114,19
246,301317.106,30,114,16
247,309796.347,37,118,18
248,309827.114,49,123,17
249,311680.661,39,123,19
250,312031.579,158,116,19
251,312873.402,167,122,18
252,313887.444,75,124,19
253,314304.926,63,124,17
254,316142.917,70,122,19
255,316203.896,51,120,17
256,318738.929,46,124,19
257,320007.100,97,124,19
258,320603.337,26,123,17
259,321356.834,92,120,17
260,322032.148,21,116,19
261,324298.025,107,120,19
262,326779.232,22,131,18
263,328899.623,44,126,17
264,329649.361,32,123,18
265,331117.387,127,122,19
266,332758.350,74,125,19
267,332883.012,34,123,18
268,333709.831,53,119,16
269,333729.374,22,120,18
270,336062.678,55,121,19
271,336799.238,39,121,17
272,337170.869,23,122,18
273,337304.144,35,121,17
274,342358.571,15,123,16
275,342956.811,77,123,19
276,343993.243,33,116,16
277,345217.881,87,119,18
278,346876.458,24,116,16
279,347556.504,35,116,18
280,349475.241,43,129,19
281,353061.037,20,120,18
282,356557.482,23,120,17
283,356566.065,12,223,17
284,356828.266,20,122,17
285,356842.881,40,122,19
286,357151.928,83,125,17
287,357405.399,39,128,18
288,357862.368,30,129,17
289,359206.460,16,126,17
290,359634.286,22,124,17
291,360061.428,23,125,16
292,360473.963,42,125,19
293,360800.014,42,132,17
294,361467.214,14,131,17
295,362870.495,30,120,16
296,362970.070,26,123,16
297,363551.293,59,116,18
298,364561.931,43,128,17
299,364884.120,19,119,17
300,365018.527,22,120,16
301,365484.908,36,123,16
302,367769.515,121,124,16
303,369750.862,49,119,19
304,370102.116,46,116,19
305,372051.763,94,123,19
306,374539.644,13,119,17
307,374912.261,19,122,18
308,375006.723,22,125,18
309,375462.235,61,122,19
310,375487.042,120,126,16
311,376711.871,45,122,16
312,377634.722,23,121,18
313,377793.234,44,121,19
314,377922.270,18,123,17
315,378151.932,15,126,17
316,378845.785,22,122,17
317,381126.499,70,123,19
318,381416.066,14,122,17
319,382846.291,13,122,17
320,387046.488,53,121,19
321,388658.787,34,122,17
322,390081.438,18,122,16
323,393289.069,47,120,19
324,394074.981,144,119,19
325,396797.402,25,126,19
326,398651.632,19,114,17
327,399621.027,11,120,16
328,399827.902,20,120,19
329,401587.408,28,125,19
330,402545.463,21,125,19
331,403643.764,68,125,16
332,404589.642,29,130,16
333,407059.599,144,120,18
334,407082.689,64,126,17
335,407177.104,49,127,16
336,407743.288,21,117,16
337,408445.625,96,123,19
338,408995.028,30,125,18
339,409441.509,48,118,19
340,410906.779,158,124,19
341,411818.033,19,123,18
342,412141.480,17,123,16
343,413406.665,100,129,17
344,420046.220,92,117,19
345,421052.025,28,128,17
346,421266.319,16,116,17
347,422333.120,63,118,19
348,425915.480,10,124,18
349,427874.535,83,119,18
350,432334.343,26,127,18
351,433902.796,21,119,18
352,433943.636,30,124,17
353,434107.135,24,117,17
354,436231.289,24,125,19
355,438681.913,14,121,16
356,438907.032,47,120,19
357,439668.099,68,125,19
358,441080.510,145,120,19
359,441439.197,26,119,16
360,441778.950,15,116,16
361,444926.155,24,121,18
362,449951.168,20,125,16
363,450657.715,33,122,17
364,451896.299,86,126,19
365,452542.635,14,122,16
366,454609.168,27,121,17
367,455871.947,20,119,16
368,459778.449,105,125,19
369,461898.089,50,125,19
370,462441.606,140,121,17
371,462716.314,32,122,16
372,463721.176,11,112,16
373,464291.145,59,126,19
374,467296.009,19,122,16
375,467561.600,21,122,18
376,469664.808,59,189,18
377,470771.554,27,120,18
378,473046.676,53,129,19
379,474777.374,29,120,17
380,476259.904,17,118,19
381,477468.491,60,125,19
382,479199.244,20,121,17
383,479232.179,18,123,16
384,480241.033,17,120,16
385,480839.852,166,126,19
386,481249.030,31,123,16
387,483957.918,16,126,17
388,484408.856,28,119,16
389,487136.675,19,118,17
390,490609.496,37,127,17
391,490907.596,26,125,17
392,491939.504,36,120,18
393,494907.954,123,115,19
394,495398.836,29,120,18
395,497918.271,39,119,16
396,498894.871,95,119,19
397,499535.662,19,128,16
398,501920.638,26,115,16
399,502124.069,38,128,17
400,503664.266,15,225,19
401,503796.260,49,121,19
402,504955.158,75,128,19
403,506390.483,69,120,19
404,509030.640,21,118,18
405,510506.914,43,122,19
406,512345.837,50,115,19
407,512621.127,22,124,17
408,513048.253,21,120,17
409,513616.257,13,119,18
410,514606.182,40,124,19
411,515454.097,24,122,19
412,516790.940,62,122,18
413,518269.254,15,122,18
414,519574.842,90,117,16
415,520387.461,94,127,19
416,521039.170,13,124,17
417,521502.170,26,118,17
418,522683.033,39,122,19
419,526532.518,42,117,19
420,526564.218,24,123,16
421,526864.666,14,122,19
422,528807.499,80,124,19
423,528924.475,23,120,17
424,531068.073,76,119,18
425,533488.923,25,122,17
426,535922.502,107,125,16
427,536951.582,19,121,17
428,538327.659,15,127,18
429,542840.166,65,120,17
430,543498.701,50,128,17
431,543634.595,63,119,19
432,545154.572,45,123,19
433,545787.913,24,121,16
434,547588.991,59,126,19
435,547975.746,86,126,19
436,548148.509,76,122,17
437,548714.262,17,118,18
438,548923.467,22,127,17
439,549317.381,26,125,17
440,550113.342,63,128,19
441,551550.223,21,117,16
442,552156.369,26,123,18
443,552790.297,48,127,17
444,553689.978,65,126,17
445,554569.813,53,124,19
446,555016.075,75,119,19
447,555891.041,64,126,17
448,557924.617,113,112,19
449,559527.889,23,121,17
450,559769.239,51,123,19
451,560313.034,92,123,19
452,561306.846,45,126,19
453,561700.875,35,123,17
454,561793.523,12,125,17
455,562102.316,25,125,17
456,562378.953,15,123,19
457,563461.038,50,123,19
458,563752.524,24,122,18
459,563768.239,33,120,16
460,564422.349,120,121,19
461,565475.514,47,124,17
462,565616.489,86,113,19
463,566841.713,48,122,17
464,566868.772,24,124,16
465,568086.764,39,208,16
466,568159.619,79,123,16
467,568954.266,50,120,19
468,569269.311,40,120,17
469,572482.093,20,124,18
470,572853.312,21,120,16
471,574183.000,18,123,18
472,575437.447,26,123,17
473,575500.392,30,124,16
474,576010.706,12,121,17
475,576320.608,48,125,19
476,576554.450,21,122,18
477,578015.328,163,120,19
478,581409.645,66,120,17
479,582429.874,34,124,19
480,582788.917,19,132,16
481,583070.784,20,120,17
482,584759.130,22,124,16
483,585959.282,47,125,19
484,588267.746,29,122,19
485,589121.972,92,124,16
486,589396.130,22,133,17
487,589718.532,15,123,18
488,589820.101,30,124,16
489,593746.056,127,124,19
490,594812.798,49,116,19
491,598706.559,19,120,18
492,599659.652,56,132,19
493,600651.542,37,114,16
494,605445.333,35,116,17
495,605641.782,32,127,17
496,605686.625,34,124,18
497,611310.856,114,124,19
498,612627.329,49,117,16
499,613087.534,23,119,17
500,613639.318,21,125,18
501,614218.934,23,125,18
502,614249.602,56,113,19
503,615317.273,45,118,19
504,615608.012,20,120,18
505,616709.001,65,117,19
506,617241.825,15,124,17
507,617653.420,69,119,16
508,618690.416,38,120,17
509,620307.947,21,126,18
510,622614.026,34,117,16
511,623089.092,57,124,19
512,624084.502,17,115,17
513,625694.969,45,117,19
514,626122.031,42,129,17
515,627900.187,28,128,17
516,628317.326,16,124,18
517,629727.122,94,122,19
518,630138.727,15,120,19
519,630838.378,28,123,17
520,631202.512,30,122,17
521,634148.641,19,128,19
522,635423.522,67,127,19
523,636522.791,43,122,17
524,638904.037,30,120,16
525,640792.295,22,122,16
526,641305.155,14,122,19
527,641955.526,38,127,17
528,642095.238,34,120,16
529,642138.240,14,129,16
530,643254.997,35,126,16
531,643514.822,47,129,19
532,644966.108,62,121,19
533,645069.714,14,125,18
534,645362.640,21,124,18
535,646166.730,39,127,18
536,647975.875,29,127,18
537,649721.617,23,128,18
538,651991.884,45,123,19
539,652334.191,202,118,19
540,656183.407,58,122,17
541,656260.672,112,130,19
542,657460.690,126,123,17
543,658039.071,39,122,19
544,658080.308,35,116,18
545,660042.678,93,122,19
546,660135.218,20,242,16
547,660282.951,49,127,19
548,661111.647,21,118,19
549,662262.114,19,122,18
550,663361.564,20,118,17
551,663582.976,25,122,16
552,664531.897,33,124,18
553,667416.295,15,120,17
554,668861.019,18,122,18
555,669370.559,75,128,19
556,673865.950,43,120,17
557,675260.988,88,119,19
558,675871.463,37,122,17
559,675901.050,48,126,19
560,676292.929,96,121,19
561,676405.212,71,113,17
562,677093.720,44,124,19
563,677335.760,24,122,16
564,681751.059,48,120,17
565,681821.799,13,133,17
566,683718.694,48,129,19
567,684589.451,47,120,19
568,684915.075,24,129,16
569,685875.397,33,133,16
570,686224.140,49,116,19
571,688572.274,31,122,19
572,689206.438,16,120,17
573,690533.294,12,114,17
574,691293.341,30,126,16
575,692265.291,77,124,19
576,694649.654,24,123,19
577,694882.075,33,118,18
578,695510.421,54,114,19
579,697006.173,37,122,19
580,699158.288,21,123,18
581,699426.288,17,125,18
582,703323.856,44,125,18
583,703521.562,132,127,19
584,704100.481,34,116,19
585,704379.460,18,124,17
586,707113.046,21,121,18
587,707677.027,19,119,17
588,707951.346,19,122,17
589,711032.889,57,122,19
590,711486.146,17,127,18
591,712095.418,95,122,18
592,712276.900,55,240,19
593,712327.695,25,120,19
594,713106.691,56,120,16
595,713481.587,31,119,16
596,714522.456,31,125,17
597,715361.784,18,117,17
598,715700.314,20,120,16
599,716887.949,26,223,17
600,716979.701,56,121,16
601,717244.455,21,123,16
602,718961.123,54,118,19
603,719825.337,47,123,19
604,720458.367,20,123,17
605,722041.396,83,122,19
606,722278.268,57,121,19
607,725606.807,23,122,17
608,726865.312,32,124,17
609,729211.683,119,123,19
610,729543.468,74,124,17
611,730932.190,24,240,17
612,731173.057,27,127,16
613,733923.486,112,122,19
614,734630.949,53,115,19
615,737415.087,28,130,19
616,739309.982,24,118,18
617,740319.386,27,132,18
618,740986.318,123,117,19
619,741640.025,55,127,19
620,745142.736,21,125,16
621,745675.216,27,122,18
622,745975.658,22,119,17
623,746068.382,19,120,18
624,746809.740,32,122,16
625,749929.318,82,114,19
626,751396.465,28,122,17
627,753935.364,48,122,18
628,754365.102,75,118,19
629,755120.789,44,122,19
630,755241.894,33,125,16
631,755668.769,25,124,18
632,758333.602,55,124,19
633,758794.919,46,118,19
634,760447.534,26,124,18
635,762671.936,15,124,17
636,763550.391,32,125,17
637,767323.941,49,117,19
638,767713.923,16,132,17
639,768500.155,144,120,19
640,769330.653,35,128,17
641,769797.148,53,125,19
642,770805.365,34,119,19
643,772521.602,20,124,16
644,772686.794,27,126,17
645,774042.702,92,125,18
646,774601.367,41,119,19
647,775218.125,50,121,16
648,775476.992,73,120,19
649,777113.656,13,118,16
650,777488.781,36,121,17
651,778621.752,48,123,17
652,779683.695,29,127,17
653,779790.928,206,127,19
654,779985.472,24,116,17
655,784522.763,40,123,19
656,785372.437,94,127,19
657,786150.077,116,118,19
658,787460.359,32,119,17
659,790064.737,103,123,19
660,790431.603,24,119,17
661,790705.585,34,119,18
662,790766.347,30,126,16
663,791800.268,21,124,18
664,791950.421,21,122,17
665,792046.530,42,115,18
666,794481.546,13,122,17
667,800853.806,30,124,18
668,800991.652,61,117,19
669,802817.337,18,124,18
670,804187.273,45,127,19
671,804812.010,19,115,17
672,805992.940,75,119,17
673,806095.073,20,123,17
674,808387.160,32,124,17
675,809916.068,89,119,19
676,810616.461,30,122,17
677,810708.499,22,115,18
678,810776.180,23,122,19
679,810866.406,14,112,17
680,810888.592,58,122,19
681,810915.937,156,117,18
682,810960.690,26,122,17
683,813269.129,59,127,19
684,814366.039,95,120,19
685,817573.101,16,119,17
686,819308.384,49,122,18
687,820123.320,17,121,18
688,820395.809,13,117,16
689,821688.570,16,116,17
690,822135.120,53,118,19
691,822518.870,38,124,19
692,823126.929,38,127,18
693,823879.318,55,119,19
694,824507.389,24,122,19
695,825269.984,13,121,19
696,826160.425,30,120,17
697,826235.115,43,119,17
698,826881.675,41,124,16
699,829201.048,37,321,18
700,829475.665,24,123,16
701,831000.757,19,127,19
702,832051.321,16,122,16
703,832418.916,16,124,17
704,834503.708,67,119,18
705,834594.932,19,119,19
706,834692.120,28,122,18
707,834949.735,42,124,17
708,835599.044,20,116,17
709,835918.315,30,123,18
710,837980.317,53,122,19
711,839552.587,45,122,19
712,841417.584,128,126,19
713,842335.367,26,128,16
714,842900.041,60,121,16
715,842926.661,59,123,19
716,845880.933,18,121,17
717,846224.587,56,118,19
718,848767.981,58,118,19
719,849542.834,50,127,18
720,850443.243,23,126,18
721,856545.754,33,125,17
722,856556.824,46,132,19
723,857710.917,52,118,19
724,858010.262,17,118,18
725,859462.593,18,121,18
726,861290.298,29,122,17
727,862865.723,57,129,19
728,863004.509,33,116,17
729,863907.441,33,130,17
730,863969.439,112,123,19
731,864100.845,19,123,16
732,865359.264,29,125,16
733,866265.775,62,120,19
734,867053.335,18,119,18
735,867580.702,117,126,19
736,869530.823,61,116,19
737,869559.530,23,124,16
738,870118.741,104,121,19
739,870155.180,19,125,16
740,871305.180,18,122,17
741,878219.313,19,121,17
742,880314.816,54,118,16
743,884066.520,73,121,19
744,884436.357,20,123,17
745,886321.524,22,125,16
746,886511.045,58,121,18
747,888449.353,39,122,17
748,893942.416,49,122,19
749,895028.293,51,119,17
750,895595.756,55,135,16
751,896076.381,23,125,18
752,896405.480,24,120,16
753,896618.758,50,124,19
754,897023.293,45,111,17
755,897029.045,24,125,17
756,900680.219,27,119,18
757,901382.921,83,123,19
758,902731.810,52,126,19
759,903648.085,23,120,18
760,903802.868,48,124,17
761,903854.352,10,129,16
762,906332.680,19,127,17
763,906701.463,45,121,19
764,909069.203,42,122,19
765,910469.873,107,120,17
766,911410.881,42,123,17
767,911972.891,18,121,18
768,913083.504,58,125,19
769,913442.084,42,124,19
770,914760.458,19,124,16
771,914805.096,18,126,17
772,915408.648,58,123,19
773,917209.350,53,124,19
774,917879.930,43,122,19
775,921644.884,27,125,17
776,925090.822,53,132,18
777,925390.749,18,121,17
778,927052.094,58,121,17
779,928004.408,48,123,19
780,930582.643,20,120,17
781,930899.779,18,122,17
782,931035.929,35,120,19
783,931879.322,24,125,19
784,932419.429,56,119,19
785,934101.884,37,115,19
786,935778.693,22,129,17
787,937452.805,53,124,17
788,939512.383,53,117,19
789,939619.876,31,121,18
790,940202.687,50,127,19
791,940947.643,48,123,18
792,942854.749,58,114,19
793,943062.285,16,125,17
794,944954.604,17,118,16
795,946054.947,20,113,17
796,947048.804,87,123,19
797,948054.080,14,126,17
798,949650.297,38,121,16
799,950526.329,13,122,17
800,952592.157,58,117,19
801,952893.094,71,122,16
802,953381.923,24,134,17
803,954578.747,52,122,19
804,954801.740,21,112,16
805,954870.344,63,123,17
806,957188.616,16,126,17
807,957669.597,15,121,18
808,959159.131,88,128,18
809,962756.987,21,123,17
810,963185.706,60,122,19
811,963451.999,31,124,19
812,963550.243,17,114,18
813,967372.650,18,127,16
814,967884.494,21,124,17
815,968978.412,125,120,18
816,970398.889,37,120,16
817,970565.151,45,124,19
818,971217.371,143,122,19
819,972206.747,17,119,17
820,973655.338,14,126,18
821,973809.464,50,132,19
822,974343.247,78,120,19
823,974659.101,23,121,17
824,975126.085,76,121,19
825,977534.069,109,120,19
826,979487.575,1455,129,16
827,979717.106,15,122,17
828,980856.991,21,120,16
829,980873.406,22,127,18
830,982071.647,22,122,18
831,985297.880,43,118,17
832,985442.644,35,116,19
833,986199.738,91,122,19
834,986956.757,11,122,17
835,987500.922,115,125,17
836,987834.743,58,122,19
837,988650.908,57,122,19
838,989312.705,35,123,16
839,991871.441,20,116,18
840,992810.390,24,130,19
841,993578.596,17,117,17
842,994699.862,50,124,16
843,994779.489,55,125,19
844,995756.199,59,114,19
845,1000264.842,86,134,19
846,1001195.561,203,121,17
847,1001452.680,53,119,19
848,1002347.112,39,122,19
849,1003519.951,52,121,19
850,1006204.377,18,125,17
851,1006366.963,35,118,17
852,1010619.616,54,120,19
853,1010883.556,62,124,19
854,1014304.764,12,122,19
855,1014952.123,38,130,19
856,1015741.489,39,124,19
857,1016029.078,35,120,17
858,1017582.985,17,126,18
859,1018929.312,57,125,19
860,1018945.899,27,119,17
861,1019870.217,36,121,17
862,1020228.864,72,127,19
863,1021683.802,152,125,19
864,1023106.156,65,124,17
865,1024768.533,20,117,19
866,1024826.802,65,241,16
867,1025676.012,22,128,18
868,1026062.523,16,124,17
869,1026103.872,64,119,19
870,1026837.241,29,118,16
871,1028303.375,24,123,16
872,1032132.668,41,124,19
873,1033011.406,53,128,19
874,1035846.156,19,121,17
875,1038340.010,23,123,17
876,1043079.359,30,122,18
877,1045681.678,68,122,18
878,1046636.794,47,129,17
879,1047269.038,20,125,19
880,1047899.621,28,125,18
881,1048427.535,25,120,17
882,1052789.371,18,120,17
883,1054174.161,70,121,19
884,1055672.010,27,125,18
885,1056211.986,21,123,16
886,1057850.595,28,119,17
887,1058047.352,22,128,17
888,1058614.422,18,122,17
889,1059855.813,17,120,17
890,1060651.248,23,119,17
891,1063878.477,41,120,16
892,1065661.345,25,127,16
893,1065764.332,91,119,18
894,1066238.663,43,122,19
895,1068988.264,54,120,19
896,1068998.331,25,121,17
897,1070305.621,31,120,17
898,1070722.735,43,129,18
899,1071867.574,14,114,17
900,1075760.731,48,130,18
901,1079255.909,17,123,18
902,1080156.628,60,123,19
903,1080515.258,86,122,16
904,1081199.883,18,123,16
905,1081507.158,87,121,17
906,1082404.060,53,116,19
907,1082432.153,20,115,17
908,1082790.809,28,129,18
909,1083892.855,64,120,19
910,1084009.220,22,117,18
911,1085688.454,38,122,18
912,1086859.592,19,123,17
913,1090002.735,59,119,19
914,1091161.397,46,122,19
915,1092629.968,29,121,16
916,1096288.475,40,127,16
917,1097106.222,24,123,17
918,1097759.077,34,124,18
919,1097996.946,52,119,16
920,1099695.447,87,128,19
921,1099783.668,20,125,18
922,1100573.221,17,123,17
923,1100676.174,29,124,17
924,1102744.453,84,122,18
925,1102954.422,30,118,16
926,1103016.360,49,125,19
927,1105724.921,18,120,18
928,1110861.904,19,126,18
929,1111641.226,42,122,19
930,1111985.421,19,120,17
931,1112041.100,49,119,19
932,1112511.788,42,124,19
933,1114092.179,43,131,18
934,1119757.778,19,118,18
935,1122723.772,37,124,17
936,1124373.505,18,122,17
937,1126536.480,48,116,18
938,1128252.217,49,132,17
939,1128383.325,33,122,17
940,1128653.301,71,123,19
941,1129474.614,16,122,17
942,1131117.633,31,122,19
943,1135323.182,44,127,16
944,1135388.061,19,121,16
945,1135676.351,55,117,19
946,1137097.114,51,132,16
947,1137542.467,22,120,18
948,1137698.658,20,122,19
949,1137909.004,20,117,16
950,1140441.083,26,119,17
951,1142359.791,128,130,17
952,1144290.469,20,117,17
953,1144382.825,45,119,16
954,1146849.635,33,117,17
955,1146955.278,47,125,19
956,1148645.508,41,125,19
957,1149002.999,13,119,17
958,1149433.451,20,122,17
959,1150798.511,35,117,18
960,1150826.922,24,123,17
961,1152708.582,14,123,16
962,1155729.308,34,128,19
963,1160697.280,89,122,19
964,1162051.418,20,126,17
965,1162250.245,11,125,18
966,1162857.418,152,123,19
967,1162969.230,21,121,17
968,1163041.969,20,122,16
969,1164107.479,54,243,19
970,1164313.417,83,120,19
971,1166446.900,39,122,19
972,1167718.625,35,118,17
973,1170000.836,16,121,17
974,1171087.907,61,121,19
975,1171593.943,145,118,19
976,1172033.925,19,126,17
977,1174030.776,21,120,18
978,1177156.439,22,122,16
979,1180455.104,14,118,18
980,1182140.286,51,127,19
981,1186105.486,56,113,19
982,1188714.325,20,125,16
983,1189290.245,18,119,18
984,1189346.376,35,115,17
985,1191310.342,11,128,18
986,1192114.049,18,126,17
987,1192252.035,16,121,17
988,1192313.596,16,121,18
989,1193251.893,54,124,19
990,1194010.885,49,118,19
991,1195345.295,59,122,19
992,1196165.288,13,114,16
993,1197645.851,104,120,18
994,1198032.869,56,124,19
995,1198440.941,72,125,19
996,1199675.389,22,129,17
997,1200088.934,126,114,17
998,1200416.365,253,126,19
999,1202173.552,20,121,17
1000,1203024.168,18,120,17
1001,1203939.853,55,126,19
1002,1204081.414,30,118,18
1003,1206123.037,20,124,18
1004,1206129.208,14,123,16
1005,1207707.988,112,126,19
1006,1208295.646,23,130,17
1007,1208838.652,25,124,18
1008,1209640.293,23,121,16
1009,1209749.093,28,125,19
1010,1209998.298,27,127,19
1011,1210159.583,22,123,18
1012,1211370.224,89,119,19
1013,1215075.032,21,120,17
1014,1215387.996,34,124,19
1015,1216345.385,33,119,19
1016,1216515.259,23,125,16
1017,1216796.594,52,125,19
1018,1218098.378,27,117,16
1019,1218352.073,17,242,17
1020,1221061.536,67,121,19
1021,1221772.888,52,123,19
1022,1224205.800,84,122,19
1023,1225074.229,60,122,19
1024,1226769.334,22,122,18
1025,1230295.625,17,123,17
1026,1230537.094,74,113,17
1027,1232729.175,121,118,19
1028,1234161.153,68,123,19
1029,1234289.264,27,128,18
1030,1235607.320,17,120,19
1031,1237070.551,112,122,19
1032,1237920.175,24,121,17
1033,1240723.677,40,132,19
1034,1245600.645,19,126,17
1035,1246325.062,50,125,18
1036,1249474.408,75,129,19
1037,1249991.966,30,124,16
1038,1251041.390,44,127,19
1039,1251564.643,226,124,19
1040,1252741.046,14,123,18
1041,1253079.964,56,123,19
1042,1254410.787,17,123,19
1043,1256302.936,59,123,19
1044,1257343.873,54,127,17
1045,1258026.522,51,124,19
1046,1259391.261,19,131,17
1047,1259424.054,58,125,16
1048,1259902.275,15,125,17
1049,1262516.499,19,122,19
1050,1263934.719,75,121,19
