# Données du premier détecteur
# Index,temps(ms), tension(mV), temps mort cumulatif (ms), température
84,108836.372,55,124,18
85,111374.622,24,127,18
86,113189.088,72,124,19
87,115131.302,28,125,18
88,115135.297,39,122,18
89,115858.294,15,123,18
90,117758.058,95,126,19
91,120060.358,29,122,18
92,122645.221,52,125,17
93,124158.081,71,123,19
94,126274.240,21,125,17
95,127686.777,26,122,17
96,128886.719,112,122,19
97,130182.410,16,125,19
98,130270.399,17,122,18
99,130538.589,18,131,17
100,131352.991,38,126,16
101,131932.710,24,125,17
102,132809.795,51,121,19
103,132928.508,15,122,18
104,134318.186,41,120,19
105,135382.488,47,121,19
106,138519.817,29,122,16
107,139081.300,62,119,19
108,141281.331,101,123,19
109,141477.351,104,121,19
110,142127.052,87,123,19
111,143185.643,64,123,19
112,143563.904,15,124,16
113,144863.177,43,125,17
114,145117.576,87,127,19
115,146786.256,28,140,17
116,146822.166,21,121,16
117,148202.369,21,121,17
118,149032.818,85,124,19
119,149203.178,32,121,18
120,150190.850,61,121,19
121,151752.190,59,123,19
122,152147.941,109,120,19
123,152590.064,48,121,17
124,153055.508,97,122,19
125,154347.217,20,125,16
126,155126.999,25,121,18
127,157477.232,22,119,16
128,159126.043,130,122,19
129,159227.148,69,119,17
130,159705.448,17,115,18
131,160794.808,61,120,19
132,160879.760,67,121,18
133,161713.266,59,117,19
134,162048.265,73,117,19
135,163277.327,72,121,19
136,163746.222,39,120,19
137,166533.790,80,121,19
138,167008.551,53,122,19
139,169106.912,19,124,17
140,171062.282,73,122,19
141,172290.692,95,121,19
142,172942.006,67,123,17
143,173300.066,48,121,18
144,173618.982,53,124,19
145,175336.951,28,124,17
146,176009.331,15,117,18
147,177857.842,45,119,19
148,177927.253,16,120,16
149,178573.831,20,123,17
150,180985.103,50,121,19
151,181887.485,16,120,19
152,181958.418,17,124,16
153,182793.189,57,117,19
154,185377.645,21,118,18
155,185430.343,32,118,18
156,185601.695,43,122,16
157,185644.270,16,117,18
158,187980.472,21,118,17
159,190347.968,21,124,17
160,192650.306,26,118,16
161,193629.480,109,120,19
162,193634.264,19,121,16
163,195492.713,49,125,17
164,195840.431,97,120,17
165,197816.882,57,121,19
166,199285.386,35,123,17
167,199473.343,80,120,19
168,199834.350,20,121,16
169,201024.040,30,120,17
170,201304.870,27,123,18
171,205635.523,27,120,17
172,205871.886,46,119,19
173,206377.345,36,123,19
174,207974.298,26,132,17
175,211132.024,22,121,17
176,211315.907,22,123,18
177,213134.450,28,119,19
178,213473.023,97,118,19
179,217516.698,39,123,19
180,220012.937,20,116,17
181,224795.376,47,119,17
182,225958.229,16,117,18
183,226434.196,23,121,19
184,228483.663,29,118,19
185,228635.687,23,118,17
186,229416.414,15,125,19
187,232484.359,20,119,18
188,235016.548,41,124,18
189,235818.603,130,130,19
190,236350.631,21,124,18
191,236633.909,17,123,17
192,236870.408,32,126,18
193,239307.189,29,123,17
194,239505.110,17,125,17
195,240602.470,21,123,16
196,241270.482,81,125,19
197,242516.779,24,122,17
198,242953.590,25,122,19
199,243638.591,73,127,19
200,243644.040,62,123,18
201,244465.141,15,127,18
202,244556.515,42,126,18
203,244905.074,41,128,19
204,246864.441,30,120,17
205,252186.010,43,123,19
206,253668.213,16,121,18
207,256148.535,89,119,17
208,258243.601,26,123,17
209,258731.322,45,120,19
210,260272.961,121,122,17
211,261962.595,88,122,16
212,262949.765,26,126,18
213,263240.197,17,122,18
214,263908.462,50,122,19
215,265533.476,37,126,16
216,266855.816,35,123,17
217,269742.767,17,130,17
218,271506.258,17,125,17
219,271985.375,43,126,18
220,274860.711,34,122,17
221,274946.836,46,125,19
222,275355.031,21,122,17
223,276861.600,18,121,17
224,278288.325,69,126,19
225,278629.295,20,123,16
226,281858.308,16,126,17
227,282717.761,21,122,16
228,284416.617,101,123,19
229,286278.472,56,120,19
230,292085.843,15,120,18
231,292173.881,31,124,19
232,297311.646,32,131,19
233,297531.593,42,117,19
234,297572.404,50,115,17
235,299469.487,16,115,16
236,300285.232,33,115,18
237,300484.335,65,119,19
238,300541.790,38,115,16
239,301637.879,30,117,16
240,303155.561,19,117,17
241,307434.868,42,118,17
242,309073.828,22,120,17
243,311680.656,41,117,19
244,312031.581,158,118,19
245,313887.449,80,119,19
246,315330.311,16,117,17
247,316142.914,66,175,19
248,317392.140,37,121,17
249,317780.714,24,120,16
250,318369.014,25,123,16
251,318738.935,51,120,19
252,318863.639,22,121,17
253,319087.106,17,126,17
254,320007.098,101,119,19
255,322032.144,21,122,19
256,323213.333,32,120,16
257,323308.689,16,123,17
258,324298.023,112,118,19
259,324545.600,22,118,18
260,326195.781,22,125,17
261,329395.764,109,117,17
262,329489.371,21,122,19
263,331117.388,125,119,19
264,332758.351,73,121,19
265,334171.865,28,120,17
266,334417.278,16,122,16
267,335049.859,15,123,17
268,335471.002,24,121,17
269,336062.676,51,121,19
270,336926.372,16,122,17
271,339739.097,18,123,18
272,341475.353,42,120,18
273,342236.622,16,121,17
274,342274.726,15,124,17
275,342956.810,82,121,19
276,343679.961,17,120,17
277,345538.470,35,128,18
278,349065.011,48,119,17
279,349475.244,48,121,19
280,349884.796,15,121,17
281,352439.119,28,123,17
282,354088.412,38,119,18
283,354214.952,39,118,18
284,356842.882,43,123,19
285,357818.838,20,119,18
286,359497.145,51,118,17
287,360201.473,17,118,18
288,360297.557,21,121,17
289,360473.961,38,118,19
290,362994.080,19,120,17
291,364835.268,19,137,19
292,368666.147,21,121,16
293,369603.809,15,121,17
294,369750.860,48,124,19
295,370102.116,49,122,19
296,370825.491,19,121,18
297,372051.767,97,121,19
298,373371.840,253,124,18
299,374326.698,18,121,17
300,375462.233,66,121,19
301,377793.228,48,123,19
302,380786.004,33,121,16
303,381126.502,71,121,19
304,382789.835,18,122,18
305,384003.550,24,129,17
306,384446.850,41,123,17
307,384883.607,29,125,18
308,387046.489,57,121,19
309,389195.198,24,123,16
310,393289.069,47,120,19
311,394074.982,144,122,19
312,395885.285,32,123,18
313,396797.406,21,121,19
314,397527.311,19,124,16
315,397776.576,30,121,18
316,399424.593,28,126,18
317,399827.905,19,124,19
318,401587.409,28,123,19
319,402545.462,21,131,19
320,406045.014,19,127,17
321,406422.138,19,126,17
322,407878.233,37,123,18
323,408445.623,92,126,19
324,409441.505,48,122,19
325,410906.782,158,125,19
326,414592.511,20,122,17
327,415404.366,30,122,16
328,418519.547,16,125,17
329,419294.189,20,123,18
330,420046.222,95,126,19
331,420605.899,46,123,16
332,422333.121,59,124,19
333,423162.521,31,121,18
334,424601.911,32,131,16
335,426673.694,20,120,19
336,431848.583,34,122,18
337,432303.894,47,123,18
338,434730.974,16,121,17
339,436891.934,22,122,18
340,438907.031,48,121,19
341,439668.096,69,126,19
342,441050.893,17,124,19
343,441080.505,147,124,19
344,443624.062,24,126,17
345,445468.374,40,125,17
346,446113.542,45,126,18
347,446961.653,21,123,18
348,448455.974,17,209,17
349,449444.026,30,120,18
350,450124.010,33,123,19
351,451896.300,82,119,19
352,456145.934,15,120,17
353,457102.672,78,119,16
354,457350.333,16,122,18
355,459504.747,20,120,18
356,459778.449,101,121,19
357,461885.736,17,123,16
358,461898.087,53,122,19
359,462858.924,27,120,18
360,463111.474,24,119,17
361,463651.081,26,122,16
362,464291.144,57,118,19
363,466688.314,24,134,17
364,467570.741,32,120,17
365,470763.173,23,120,16
366,471079.658,48,119,17
367,471477.736,39,122,18
368,473046.681,56,120,19
369,473151.643,19,121,17
370,477468.489,62,128,19
371,477636.795,154,119,17
372,479997.945,28,123,17
373,480839.851,162,122,19
374,481022.106,17,126,17
375,482449.717,27,123,16
376,483494.888,18,122,18
377,483977.144,20,128,16
378,490784.620,25,122,18
379,491917.258,23,122,18
380,492454.662,30,121,17
381,494840.454,20,124,17
382,494907.953,121,122,19
383,496487.329,48,123,19
384,498894.869,97,126,19
385,500601.236,17,122,17
386,501890.529,17,120,17
387,502446.030,62,120,18
388,503664.265,20,122,19
389,503796.262,51,120,19
390,504955.152,76,119,19
391,506390.481,65,125,19
392,506764.092,18,119,19
393,508134.786,18,120,18
394,508491.200,66,126,18
395,508543.032,46,119,17
396,509157.582,109,123,19
397,512292.651,20,122,17
398,512345.840,49,125,19
399,512541.898,33,123,16
400,514606.176,43,123,19
401,518638.508,17,127,18
402,520387.459,92,120,19
403,521079.563,50,122,18
404,522189.338,24,121,16
405,522683.030,43,125,19
406,525241.630,130,125,16
407,526002.889,31,119,16
408,526532.520,41,122,19
409,527145.700,43,121,17
410,528807.499,83,120,19
411,529616.977,25,125,17
412,529639.658,26,117,17
413,531274.300,21,118,16
414,531985.147,16,118,17
415,536321.955,21,121,18
416,536476.984,20,116,16
417,536546.320,17,116,17
418,539121.782,23,123,16
419,540774.001,20,115,17
420,543634.599,61,125,19
421,545154.569,43,124,19
422,547588.992,59,118,19
423,547975.746,88,121,19
424,548911.648,25,122,17
425,549147.417,15,124,17
426,549859.093,32,122,17
427,550113.340,65,122,19
428,552992.862,15,128,18
429,554569.814,57,121,19
430,555016.078,76,122,19
431,557924.619,113,123,19
432,559769.242,53,126,19
433,560313.036,90,121,19
434,561306.845,45,125,19
435,563461.036,51,125,19
436,564422.345,119,122,19
437,565616.489,88,123,19
438,567537.894,22,124,17
439,568488.124,20,124,17
440,568954.266,48,120,19
441,571372.081,26,119,17
442,572774.370,43,122,17
443,573391.788,16,121,18
444,576320.610,47,118,19
445,577494.480,23,119,17
446,578015.329,164,123,19
447,578720.472,27,119,17
448,581053.823,17,120,17
449,582429.877,35,123,19
450,582437.918,17,123,16
451,583323.469,36,123,17
452,584048.742,39,122,18
453,584201.007,66,126,17
454,584342.653,42,122,16
455,585959.277,46,122,19
456,587271.498,62,126,17
457,589517.227,27,122,17
458,591459.668,43,122,17
459,593311.109,19,122,16
460,593440.771,16,124,17
461,593746.059,125,122,19
462,594113.780,24,124,17
463,594409.853,35,139,16
464,594812.802,48,122,19
465,596166.569,15,121,17
466,596188.944,73,125,17
467,596715.097,39,120,18
468,599335.339,19,119,17
469,599659.650,55,126,19
470,599900.116,50,117,18
471,600094.525,21,120,17
472,602645.728,15,119,18
473,608193.964,71,123,17
474,608565.666,24,123,17
475,608647.806,20,124,17
476,610572.316,66,127,18
477,611310.862,119,124,19
478,614249.606,57,126,19
479,614857.235,19,133,17
480,615317.272,50,125,19
481,616708.999,69,129,19
482,623089.092,53,125,19
483,625694.968,49,125,19
484,629727.120,97,128,19
485,630138.729,19,125,19
486,634148.641,22,128,19
487,634849.724,17,127,18
488,635423.523,72,128,19
489,638207.794,39,127,17
490,638773.862,24,124,17
491,641305.163,15,134,19
492,642507.672,27,122,19
493,642701.832,20,126,18
494,643514.821,43,123,19
495,644966.105,59,124,19
496,646648.782,19,123,17
497,651991.882,45,126,19
498,652334.187,203,123,19
499,655434.981,16,124,17
500,656100.500,20,129,16
501,656260.673,109,126,19
502,657384.781,119,128,17
503,658039.069,42,126,19
504,658065.382,19,128,19
505,659447.943,109,133,17
506,660042.680,91,128,19
507,660188.234,22,125,17
508,660282.950,47,125,19
509,661111.650,18,127,19
510,662009.511,25,124,17
511,664031.075,30,127,18
512,665388.709,50,125,17
513,668361.263,21,128,18
514,669370.560,76,126,19
515,672823.247,69,124,18
516,673352.030,141,126,17
517,675260.994,90,122,19
518,675901.053,48,125,19
519,676292.934,101,123,19
520,676885.712,64,132,17
521,677093.723,47,118,19
522,678747.802,46,117,17
523,679674.904,37,121,16
524,683718.699,45,118,19
525,683765.724,16,118,17
526,684589.452,49,120,19
527,685388.755,15,122,17
528,686196.751,47,122,18
529,686224.139,50,121,19
530,686779.944,23,123,19
531,686848.370,28,120,17
532,687685.974,61,122,18
533,688572.268,32,121,19
534,690918.466,23,136,18
535,691213.445,32,124,17
536,692265.288,75,128,19
537,692373.301,22,121,17
538,693971.587,19,123,18
539,697006.173,38,122,19
540,697116.927,21,126,19
541,697274.484,18,124,17
542,699131.813,32,123,17
543,700525.929,22,129,17
544,700979.949,26,120,17
545,701233.629,18,121,17
546,703521.560,135,121,19
547,704100.481,36,124,19
548,704900.701,19,124,18
549,705672.562,20,119,17
550,706416.649,27,123,16
551,706953.908,20,121,16
552,707322.609,20,120,17
553,710307.816,23,122,17
554,710346.059,62,127,16
555,710381.579,24,124,17
556,710880.078,24,123,17
557,711032.889,53,126,19
558,712276.898,54,123,19
559,714796.349,15,122,17
560,716417.895,46,123,16
561,717233.270,72,125,18
562,718961.125,50,126,19
563,719825.335,43,122,19
564,721808.196,32,124,16
565,722041.399,82,123,19
566,722278.271,54,124,19
567,722895.508,21,128,18
568,723921.488,27,121,17
569,724339.604,97,121,18
570,724422.381,26,120,17
571,726221.664,34,126,18
572,726583.581,34,120,17
573,727185.870,15,122,16
574,727413.630,26,124,16
575,727610.008,15,118,18
576,728115.327,21,120,18
577,729091.469,36,134,18
578,729211.682,119,122,19
579,731026.233,22,124,17
580,731555.681,50,124,17
581,731772.838,19,126,18
582,733923.481,112,124,19
583,734203.554,16,123,18
584,734630.953,58,125,19
585,736334.406,18,123,18
586,737415.087,31,123,19
587,740986.316,121,123,19
588,741683.701,21,125,17
589,742607.904,17,122,16
590,745617.781,160,122,18
591,746563.844,41,129,19
592,748633.353,20,125,17
593,749044.466,16,129,18
594,749929.318,87,125,19
595,750301.635,21,123,18
596,753362.504,33,126,17
597,754243.350,19,123,18
598,754365.106,80,126,19
599,754921.468,29,122,17
600,755120.791,41,124,19
601,757201.190,27,124,18
602,758333.602,56,123,19
603,758794.918,47,126,19
604,758810.288,24,125,17
605,759932.381,52,136,16
606,760781.450,26,125,17
607,761451.535,16,128,18
608,762511.785,15,126,17
609,765476.605,72,129,16
610,767323.944,51,125,19
611,767865.331,18,125,16
612,768500.156,144,128,19
613,769797.144,56,124,19
614,770805.363,30,128,19
615,773987.749,47,124,16
616,774601.368,46,128,19
617,775476.990,73,125,19
618,775968.345,30,125,19
619,776470.074,15,128,16
620,779790.927,202,131,19
621,780505.833,20,126,17
622,783095.697,18,123,17
623,783469.661,31,125,17
624,784522.761,41,124,19
625,784973.422,26,124,16
626,785372.435,93,122,19
627,786150.079,117,122,19
628,786406.720,18,126,18
629,787389.800,25,126,19
630,789403.137,19,127,16
631,790064.737,101,125,19
632,792737.093,40,128,17
633,795293.332,23,125,18
634,798744.174,20,139,18
635,800523.242,16,124,16
636,800991.655,65,124,19
637,801429.673,52,124,17
638,801750.324,15,126,17
639,803193.229,15,123,18
640,803997.780,80,123,17
641,804187.267,43,126,19
642,804297.606,40,124,18
643,808910.330,17,124,17
644,809916.065,87,124,19
645,810888.591,55,126,19
646,811022.479,203,122,17
647,812196.454,40,122,17
648,813269.125,56,132,19
649,813646.190,37,122,17
650,813978.626,51,120,16
651,814192.742,15,122,16
652,814366.039,95,121,19
653,814659.527,20,121,17
654,815216.658,38,128,18
655,815237.368,25,121,16
656,815573.818,66,124,18
657,815958.049,15,124,18
658,820436.574,35,125,17
659,821218.066,32,124,17
660,822099.868,24,123,16
661,822135.124,49,128,19
662,822518.871,41,122,19
663,822763.807,17,126,16
664,822853.169,38,122,17
665,823879.318,52,124,19
666,824507.388,20,122,19
667,825534.244,35,123,17
668,825899.778,18,126,17
669,828109.125,22,123,19
670,831042.143,113,122,17
671,834594.933,15,121,19
672,835119.143,29,123,17
673,835541.888,43,119,17
674,835711.155,24,122,16
675,835949.055,35,122,17
676,837980.320,54,119,19
677,838868.932,19,124,18
678,839552.587,43,125,19
679,841050.600,24,120,18
680,841417.584,132,125,19
681,841656.098,21,124,18
682,842926.661,61,126,19
683,844309.875,21,123,16
684,846224.587,56,123,19
685,848297.989,26,128,17
686,848329.301,87,121,17
687,848767.980,59,123,19
688,850022.526,36,123,16
689,850346.953,31,125,19
690,851899.805,16,122,17
691,855031.479,20,136,17
692,855569.072,22,126,17
693,856208.692,21,124,17
694,856556.825,46,125,19
695,857710.915,50,125,19
696,860772.718,29,122,16
697,862865.722,57,121,19
698,863682.144,15,120,16
699,863969.445,109,125,19
700,864413.635,16,120,17
701,866265.779,58,121,19
702,867580.703,113,124,19
703,869530.827,61,121,19
704,870118.745,109,123,19
705,873852.630,30,131,18
706,879120.343,19,124,17
707,880930.387,20,123,17
708,883714.677,112,123,16
709,884066.517,76,127,19
710,884215.715,46,124,17
711,885003.471,19,123,17
712,886171.508,41,126,18
713,887132.638,20,123,18
714,891491.434,28,122,17
715,891730.538,109,122,18
716,893942.418,49,125,19
717,895062.044,46,123,17
718,896618.763,54,123,19
719,900086.144,23,126,16
720,901307.065,18,127,17
721,901382.921,87,121,19
722,902731.806,57,124,19
723,903110.455,17,121,19
724,905583.953,15,122,16
725,906701.465,47,119,19
726,909069.205,43,122,19
727,912077.946,19,121,17
728,913083.503,54,121,19
729,913442.083,43,125,19
730,914888.706,20,120,18
731,915402.266,38,124,18
732,915408.649,61,124,19
733,916046.464,32,126,16
734,916681.858,24,128,16
735,916713.864,35,123,17
736,916716.728,22,125,17
737,917209.349,57,123,19
738,917879.929,44,123,19
739,918972.109,27,122,17
740,922384.223,26,125,18
741,923124.016,21,122,16
742,923679.510,53,123,18
743,926527.660,41,126,17
744,928004.411,51,124,19
745,929878.733,64,123,17
746,931035.932,39,121,19
747,931879.318,28,123,19
748,932419.425,53,132,19
749,934101.888,35,126,19
750,935148.596,85,118,17
751,936578.486,24,119,17
752,938472.443,27,121,18
753,939306.428,50,123,17
754,939512.380,57,121,19
755,940202.691,55,123,19
756,940237.202,30,129,16
757,940599.648,24,120,17
758,941227.885,26,123,18
759,947048.808,92,124,19
760,947536.030,16,127,17
761,947641.637,16,123,16
762,948616.335,32,123,19
763,948714.601,20,134,18
764,950257.352,61,125,17
765,951079.799,33,124,18
766,952592.157,55,127,19
767,953358.117,17,125,17
768,953693.870,66,128,17
769,954578.744,51,126,19
770,954660.563,16,128,19
771,955129.372,55,123,17
772,957041.764,21,123,17
773,957595.048,20,126,17
774,957971.433,49,121,18
775,957982.381,22,127,16
776,963185.707,61,121,19
777,963451.995,36,132,19
778,967036.326,22,123,18
779,969069.501,16,126,16
780,970565.152,41,125,19
781,971217.372,141,126,19
782,972290.095,36,129,16
783,972365.008,344,125,16
784,973514.747,52,128,16
785,973809.468,55,124,19
786,974343.243,76,128,19
787,974952.452,17,125,17
788,975126.088,76,124,19
789,977534.066,109,127,19
790,982560.673,36,124,17
791,982904.903,46,133,17
792,984355.823,55,124,17
793,985929.002,20,128,16
794,986117.315,32,126,17
795,986199.734,90,128,19
796,986296.233,23,124,18
797,987834.744,56,122,19
798,988139.778,24,124,17
799,988650.911,53,123,19
800,988912.215,15,127,18
801,990619.907,53,122,16
802,992810.391,21,125,19
803,994123.481,19,123,18
804,994298.398,71,122,17
805,994558.977,109,127,18
806,994779.487,53,134,19
807,995425.303,47,123,18
808,995756.197,59,120,19
809,996823.615,21,119,18
810,1000264.843,90,121,19
811,1000785.784,28,121,17
812,1001019.186,20,124,16
813,1001452.682,56,120,19
814,1001651.657,47,120,17
815,1002347.110,41,120,19
816,1003519.948,57,125,19
817,1005450.266,16,118,18
818,1007522.469,19,120,16
819,1007543.269,25,119,16
820,1008647.787,33,173,17
821,1010429.069,16,114,19
822,1010449.097,25,116,16
823,1010883.558,59,116,19
824,1013924.659,20,118,16
825,1014952.118,35,114,19
826,1015741.490,39,113,19
827,1017936.628,22,117,18
828,1018492.112,16,112,17
829,1018929.315,58,115,19
830,1020228.864,72,113,19
831,1021071.259,17,116,18
832,1021683.805,154,112,19
833,1022820.410,17,117,17
834,1023072.102,52,118,17
835,1024768.533,23,115,19
836,1026103.871,62,115,19
837,1027902.807,37,115,17
838,1029283.460,16,119,17
839,1030296.672,53,116,16
840,1032132.667,46,115,19
841,1033011.402,50,118,19
842,1035441.777,41,116,17
843,1038339.074,25,115,18
844,1041857.197,23,114,16
845,1042553.074,33,117,16
846,1042698.623,37,115,17
847,1044810.689,28,119,16
848,1047269.033,19,119,19
849,1048210.944,43,114,18
850,1049663.123,17,114,16
851,1051161.316,21,119,16
852,1052394.596,17,113,18
853,1052996.490,37,114,17
854,1053725.766,21,113,17
855,1054174.159,69,115,19
856,1054414.634,72,114,18
857,1058935.670,32,113,17
858,1060901.682,19,118,18
859,1060975.466,26,112,18
860,1062644.219,30,116,17
861,1063514.857,26,126,17
862,1066238.660,45,114,19
863,1066959.669,17,116,16
864,1068988.267,50,116,19
865,1072038.905,28,118,16
866,1075015.808,26,116,16
867,1076018.417,34,116,17
868,1080156.629,57,120,19
869,1080305.945,20,113,16
870,1081983.097,22,115,16
871,1082404.057,53,115,19
872,1083892.854,61,118,19
873,1085138.764,41,116,16
874,1086814.367,22,123,17
875,1087210.699,27,119,17
876,1090002.733,61,116,19
877,1090234.890,15,118,16
878,1091161.397,45,117,19
879,1095512.064,26,118,19
880,1097746.910,39,115,16
881,1099695.447,88,116,19
882,1100063.907,46,118,16
883,1103016.361,54,116,19
884,1108430.614,66,120,17
885,1111641.224,46,119,19
886,1112041.102,50,121,19
887,1112511.787,43,118,19
888,1113736.405,20,127,17
889,1115550.665,48,121,17
890,1117274.227,20,117,18
891,1118859.698,47,121,17
892,1121964.571,22,118,18
893,1124711.877,28,121,17
894,1125848.391,15,117,17
895,1126301.524,20,120,17
896,1128653.301,67,118,19
897,1130055.805,16,118,17
898,1131117.635,27,121,19
899,1132198.511,28,117,18
900,1135676.354,55,121,19
901,1135857.744,25,118,18
902,1137698.659,24,122,19
903,1140394.944,72,117,17
904,1142167.986,90,124,16
905,1142366.628,80,113,16
906,1144977.890,21,116,18
907,1146099.190,23,122,17
908,1146729.861,23,118,18
909,1146955.277,51,121,19
910,1148645.506,43,118,19
911,1153065.859,57,118,19
912,1153641.656,28,121,18
913,1155729.309,39,119,19
914,1156101.675,28,122,18
915,1156224.372,22,128,18
916,1156993.937,31,120,17
917,1157722.310,25,116,17
918,1158346.616,25,116,17
919,1160697.283,87,116,19
920,1160758.210,35,119,16
921,1161338.332,21,117,16
922,1162857.418,154,117,19
923,1164107.479,53,121,19
924,1164161.933,18,115,16
925,1164313.418,80,115,19
926,1164851.398,28,115,16
927,1166350.948,29,117,17
928,1166446.896,39,120,19
929,1168001.747,38,113,18
930,1171087.906,61,116,19
931,1171593.941,142,114,19
932,1172196.564,36,114,17
933,1172832.345,31,118,17
934,1178436.864,65,117,18
935,1182140.285,50,118,19
936,1184653.143,20,117,17
937,1185946.591,20,120,18
938,1186076.757,19,117,18
939,1186105.485,61,117,19
940,1186746.684,20,120,17
941,1187290.742,18,117,17
942,1190982.208,21,120,17
943,1191267.233,43,120,18
944,1192025.041,34,114,17
945,1193109.600,23,116,17
946,1193251.892,55,117,19
947,1193849.033,23,119,17
948,1194010.887,47,118,19
949,1195345.294,64,115,19
950,1195963.898,27,119,18
951,1197779.353,32,113,17
952,1198032.871,61,114,19
953,1198440.936,69,115,19
954,1199230.869,69,117,16
955,1200416.362,249,117,19
956,1203939.854,55,114,19
957,1205673.292,20,116,17
958,1206229.242,55,116,18
959,1207707.983,109,117,19
960,1209998.297,24,116,19
961,1211056.521,15,119,17
962,1211255.313,17,117,19
963,1211370.223,92,117,19
964,1213617.739,51,119,17
965,1215387.998,39,116,19
966,1216345.385,38,116,19
967,1216796.591,57,116,19
968,1221061.533,69,119,19
969,1221772.887,57,127,19
970,1222304.349,38,121,19
971,1222492.250,16,114,17
972,1224205.797,80,117,19
973,1225074.228,62,116,19
974,1227446.841,51,119,17
975,1228664.925,28,114,18
976,1229831.513,41,114,18
977,1230708.538,19,118,17
978,1230771.822,25,114,17
979,1231542.087,40,113,18
980,1231658.445,45,114,16
981,1232323.839,20,116,17
982,1232667.817,21,118,16
983,1232729.176,117,123,19
984,1234161.152,68,121,19
985,1235052.746,19,121,17
986,1236145.478,20,122,17
987,1237070.550,117,121,19
988,1237716.980,23,122,16
989,1238381.034,18,119,17
990,1240723.683,45,122,19
991,1242335.394,22,119,17
992,1243109.210,21,119,16
993,1243882.211,30,121,16
994,1244637.743,34,119,17
995,1245669.509,17,121,17
996,1246387.016,25,122,17
997,1247067.593,50,127,18
998,1249474.407,73,119,19
999,1251041.392,49,126,19
1000,1251194.723,23,116,17
1001,1251564.646,226,116,19
1002,1253079.963,57,123,19
1003,1254410.785,18,115,19
1004,1254461.786,24,119,16
1005,1255050.604,20,117,17
1006,1255328.073,38,117,18
1007,1256302.937,57,119,19
1008,1257066.058,62,119,18
1009,1257169.097,20,125,17
1010,1257461.286,32,119,18
1011,1258026.525,50,126,19
1012,1258689.570,22,119,18
1013,1260776.621,25,119,17
1014,1262517.570,20,126,17
1015,1263030.179,27,119,18
1016,1263461.162,18,125,16
1017,1263504.027,20,119,18
1018,1263934.719,80,121,19
1019,1265779.498,35,119,17
1020,1266480.297,17,119,18
1021,1266876.772,50,123,17
1022,1267733.284,42,119,19
1023,1268748.412,62,128,19
1024,1269358.345,53,113,17
1025,1271447.293,64,112,19
1026,1271981.664,20,115,19
1027,1273785.623,42,112,19
1028,1274536.994,48,112,19
1029,1275293.519,48,116,19
1030,1275677.447,42,112,19
1031,1275815.273,35,112,16
1032,1277203.053,57,113,17
1033,1277606.958,27,114,16
1034,1280457.496,41,113,19
1035,1281482.688,24,113,17
1036,1281587.640,85,125,19
1037,1282935.693,31,117,17
1038,1283859.787,50,116,19
1039,1283949.617,42,119,18
1040,1284526.787,109,118,17
1041,1287334.177,223,117,19
1042,1288394.200,43,117,19
1043,1289946.802,66,120,19
1044,1290338.155,47,117,18
1045,1291498.982,43,117,19
1046,1294374.796,59,119,19
1047,1294537.677,30,117,17
1048,1294939.420,32,117,17
